Date.Rptd,DR.NO,DATE.OCC,TIME.OCC,AREA,AREA.NAME,RD,Crm.Cd,CrmCd.Desc,Status,Status.Desc,LOCATION,Cross.Street,Location.1
07/15/2014,141113438,07/15/2014,1445,11,Northeast,1142,330,BURGLARY FROM VEHICLE,IC,Invest Cont,              ROSALIA,   CLARISSA,"(34.1069, -118.2863)"
07/15/2014,141113557,07/17/2014,1700,11,Northeast,1141,330,BURGLARY FROM VEHICLE,IC,Invest Cont, 1800      N  NEW HAMPSHIRE                AV,,"(34.1036, -118.2933)"
07/14/2014,141113411,07/15/2014,1200,11,Northeast,1149,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont, 5000      N  FIGUEROA                     ST,,"(34.105, -118.2022)"
07/13/2014,141514121,07/17/2014,1300,15,N Hollywood,1544,813,CHILD ENDANGERMENT/NEG.,IC,Invest Cont,12200         MAGNOLIA                     BL,,"(34.1649, -118.3985)"
07/13/2014,141713288,08/04/2014,800,17,Devonshire,1794,510,VEHICLE - STOLEN,IC,Invest Cont,18100         PARTHENIA                    ST,,"(34.2287, -118.5273)"
07/12/2014,140512135,07/15/2014,1400,5,Harbor,551,354,THEFT OF IDENTITY,IC,Invest Cont, 1500      W  5TH                          ST,,"(33.7397, -118.3097)"
01/16/2014,141205186,01/21/2014,1800,12,77th Street,1253,510,VEHICLE - STOLEN,IC,Invest Cont, 1800      W  78TH                         ST,,"(33.9691, -118.309)"
01/15/2014,140614561,07/01/2014,1100,6,Hollywood,645,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont, 1700      N  HIGHLAND                     AV,,"(34.1016, -118.3387)"
07/10/2014,141013868,08/20/2014,1300,10,West Valley,1001,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont,19300         SATICOY                      ST,,"(34.2084, -118.5535)"
07/10/2014,141813750,07/10/2014,1520,18,Southeast,1871,997,TRAFFIC DR #,IC,Invest Cont,              255TH                        ST,   VERMONT                      AV,"(33.7925, -118.3082)"
07/08/2014,140316215,07/21/2014,1400,3,Southwest,337,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont, 3000      S  WESTERN                      AV,,"(34.0274, -118.3089)"
